iter	RMSE
384	10943.93295
385	10932.37259
386	10912.63879
387	10909.68291
388	10888.08746
389	10867.993
390	10857.93782
391	10839.55714
392	10822.14055
393	10797.32717
394	10774.17041
395	10752.48536
396	10734.4554
397	10716.76719
398	10708.71316
399	10692.7486
400	10668.92374
401	10652.21035
402	10635.06756
403	10628.93444
404	10607.62667
405	10591.10215
406	10570.10033
407	10550.84658
408	10538.37347
409	10522.03229
410	10508.15475
411	10496.59842
412	10480.89351
413	10468.86104
414	10449.72662
415	10435.64037
416	10412.18721
417	10396.524
418	10388.30782
419	10368.59607
420	10354.69845
421	10333.23297
422	10318.33721
423	10300.86901
424	10277.39091
425	10258.63806
426	10244.02718
427	10242.23033
428	10234.97907
429	10212.89678
430	10189.18422
431	10173.14941
432	10156.78615
433	10140.23459
434	10136.0193
435	10134.41493
436	10113.04588
437	10099.42175
438	10080.33118
439	10058.93445
440	10041.33393
441	10020.7073
442	10018.72304
443	9999.31715
444	9991.976568
445	9990.392809
446	9978.660452
447	9972.731361
448	9950.775026
449	9937.313152
450	9924.471538
451	9899.544651
452	9875.439549
453	9854.013553
454	9842.366879
455	9823.237663
456	9804.527497
457	9789.636509
458	9775.356453
459	9760.277534
460	9741.975424
461	9740.516589
462	9720.587352
463	9719.164886
464	9691.068377
465	9689.692521
466	9667.587211
467	9657.24668
468	9643.448905
469	9628.289329
470	9620.299097
471	9619.091651
472	9607.930833
473	9598.824466
474	9588.948728
475	9568.543622
476	9551.386962
477	9533.680696
478	9523.402025
479	9503.1118
480	9481.215968
481	9468.263196
482	9453.050328
483	9434.672292
484	9433.376336
485	9422.983172
486	9396.993816
487	9382.271012
488	9370.351088
489	9353.88631
490	9336.56459
491	9315.32992
492	9303.733142
493	9294.136755
494	9282.946368
495	9261.575791
496	9248.148198
497	9230.276848
498	9205.002863
499	9192.955473
500	9178.103013
501	9155.504639
502	9136.900202
503	9120.686008
504	9102.177237
505	9093.751667
506	9074.974988
507	9059.904
508	9035.720504
509	9034.444785
510	9016.053732
511	8996.494648
512	8975.866772
513	8957.518371
514	8944.16698
515	8925.867208
516	8914.905143
517	8902.412744
518	8897.019354
519	8885.927805
520	8883.519647
521	8865.964622
522	8856.516081
523	8831.355151
524	8811.288641
525	8790.889215
526	8780.275293
527	8768.469469
528	8750.352706
529	8735.770732
530	8724.793712
531	8705.353231
532	8692.039595
533	8679.979781
534	8664.153204
535	8658.425533
536	8639.330572
537	8625.607466
538	8616.108848
539	8598.538185
540	8585.992516
541	8578.551182
542	8572.688512
543	8558.749686
544	8545.734959
545	8527.36784
546	8523.842
547	8515.106827
548	8506.817641
549	8492.757074
550	8484.687127
551	8470.670749
552	8456.223256
553	8445.525202
554	8435.956265
555	8428.693261
556	8410.100866
557	8403.34326
558	8397.95093
559	8383.411609
560	8365.732722
561	8352.759098
562	8340.440777
563	8333.397202
564	8321.423478
565	8307.418791
566	8293.64128
567	8291.148013
568	8281.242826
569	8275.825977
570	8258.34011
571	8247.911221
572	8234.866647
573	8220.70576
574	8217.503732
575	8200.136948
576	8188.104225
577	8169.858045
578	8157.37274
579	8143.826372
580	8140.801515
581	8130.578878
582	8122.040544
583	8110.081372
584	8098.105844
585	8087.503236
586	8079.135033
587	8056.962672
588	8048.859806
589	8035.681808
590	8019.823675
591	8009.129791
592	8002.967025
593	7983.203681
594	7981.687689
595	7969.169146
596	7961.021508
597	7945.280567
598	7930.328271
599	7919.689403
600	7906.655851
601	7889.195664
602	7877.179913
603	7870.06305
604	7857.589751
605	7850.547417
606	7841.626701
607	7834.640553
608	7828.860951
609	7808.348077
610	7806.780068
611	7795.660042
612	7790.038404
613	7771.992373
614	7759.437046
615	7743.391815
616	7736.505685
617	7727.908172
618	7715.707697
619	7711.197811
620	7699.807028
621	7695.716163
622	7682.459731
623	7674.637556
624	7664.968042
625	7653.937244
626	7639.337027
627	7619.525322
628	7609.021298
629	7600.043218
630	7588.014044
631	7574.707272
632	7564.254168
633	7555.834999
634	7542.003269
635	7527.280715
636	7514.516184
637	7506.177518
638	7495.900881
639	7487.750387
640	7476.614198
641	7468.091179
642	7453.503075
643	7437.536802
644	7428.520512
645	7416.803788
646	7412.201668
647	7399.866009
648	7398.86531
649	7390.186428
650	7389.070874
651	7381.934758
652	7378.972083
653	7369.585974
654	7362.16695
655	7349.209795
656	7337.230421
657	7324.633171
658	7312.19926
659	7308.670893
660	7296.382189
661	7290.251682
662	7283.76592
663	7273.681373
664	7262.800287
665	7250.773224
666	7249.954808
667	7239.125311
668	7222.81159
669	7213.596927
670	7209.836247
671	7209.006514
672	7203.2428
673	7188.966231
674	7183.211477
675	7169.059214
676	7158.173592
677	7150.053243
678	7135.059023
679	7123.996268
680	7110.161899
681	7098.981142
682	7093.535995
683	7083.430168
684	7076.89245
685	7065.918268
686	7060.302191
687	7049.122224
688	7041.293175
689	7030.130676
690	7015.859705
691	6999.076783
692	6989.831277
693	6981.236043
694	6968.019072
695	6957.453645
696	6950.138611
697	6935.655461
698	6928.694052
699	6927.989068
700	6917.591444
701	6909.779465
702	6905.583867
703	6892.83039
704	6883.223005
705	6873.684905
706	6863.778646
707	6847.334673
708	6840.708655
709	6835.808523
710	6827.858188
711	6820.664509
712	6819.879416
713	6812.098169
714	6807.311651
715	6806.643891
716	6790.49189
717	6778.631372
718	6768.352045
719	6753.217499
720	6745.747932
721	6738.465322
722	6720.790715
723	6702.533655
724	6689.488008
725	6673.874147
726	6667.737215
727	6659.376584
728	6646.984661
729	6638.5105
730	6633.090467
731	6623.101462
732	6619.781648
733	6614.307049
734	6602.237941
735	6589.792817
736	6581.891764
737	6574.874472
738	6570.570018
739	6561.250078
740	6548.311932
741	6538.70751
742	6520.695705
743	6503.923212
744	6491.053665
745	6479.232444
746	6468.547532
747	6459.389996
748	6449.647985
749	6449.031509
750	6447.751052
751	6447.217242
752	6433.526015
753	6420.204276
754	6409.646111
755	6400.89286
756	6390.305788
757	6379.987705
758	6371.416405
759	6365.858057
760	6361.876052
761	6353.256619
762	6341.703766
763	6328.27973
764	6318.971243
765	6304.760159
766	6302.014292
767	6285.465339
768	6276.271378
769	6265.848022
770	6254.932484
771	6248.932482
772	6246.075345
773	6237.338771
774	6220.338376
775	6212.69351
776	6204.8994
777	6204.233311
778	6192.846479
779	6186.027632
780	6178.597057
781	6166.763255
782	6155.474198
783	6143.052958
784	6132.032114
785	6120.164179
786	6110.021471
787	6109.539464
788	6100.858583
789	6092.944654
790	6087.143948
791	6076.466393
792	6072.651149
793	6062.283821
794	6052.482321
795	6040.663707
796	6040.206653
797	6028.972579
798	6017.428198
799	6006.634147
800	5998.681469
801	5991.451051
802	5982.194696
803	5972.722475
804	5962.991176
805	5954.01441
806	5953.580365
807	5946.91763
808	5942.170446
809	5935.129524
810	5929.536128
811	5923.152718
812	5917.247534
813	5909.345106
814	5901.628024
815	5895.368252
816	5887.944139
817	5875.055624
818	5865.736879
819	5859.483672
820	5849.510562
821	5837.506205
822	5831.474661
823	5821.966243
824	5813.659301
825	5809.814985
826	5809.348387
827	5800.131079
828	5799.739846
829	5790.242627
830	5781.606596
831	5773.487551
832	5767.019205
833	5764.491972
834	5757.320817
835	5747.381499
836	5742.074124
837	5731.368155
838	5722.350182
839	5712.975848
840	5709.104102
841	5697.292587
842	5690.728798
843	5687.177771
844	5678.760933
845	5673.776923
846	5667.985826
847	5660.812295
